strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V7_G1_P011,group_g1_volume,"G1 vol vp=50 vm=2.0 macd=True",992,1.3441,13333.678,1333.37,0,0,7.63,0,0,0,"{""vol_period"": 50, ""vol_mult"": 2.0, ""with_macd"": true}"
V7_G1_P012,group_g1_volume,"G1 vol vp=50 vm=2.0 macd=False",1006,1.3246,13325.678,1332.57,0,0,7.63,0,0,0,"{""vol_period"": 50, ""vol_mult"": 2.0, ""with_macd"": false}"
V7_G2_P001,group_g2_rsi,"G2 RSI p=14 max=70 macd=True",148,0.053,78.523,7.85,0,0,11.09,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 70, ""with_macd"": true}"
V7_G2_P002,group_g2_rsi,"G2 RSI p=14 max=70 macd=False",154,0.0232,35.833,3.58,0,0,13.54,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 70, ""with_macd"": false}"
V7_G2_P003,group_g2_rsi,"G2 RSI p=14 max=75 macd=True",510,0.1272,648.944,64.89,0,0,16.85,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 75, ""with_macd"": true}"
V7_G2_P004,group_g2_rsi,"G2 RSI p=14 max=75 macd=False",0,0,0,0,0,0,0,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 75, ""with_macd"": false}"
V7_G2_P005,group_g2_rsi,"G2 RSI p=14 max=80 macd=True",0,0,0,0,0,0,0,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 80, ""with_macd"": true}"
V7_G2_P006,group_g2_rsi,"G2 RSI p=14 max=80 macd=False",881,0.5807,5115.59,511.56,0,0,17.36,0,0,0,"{""rsi_period"": 14, ""rsi_max"": 80, ""with_macd"": false}"
V7_G2_P007,group_g2_rsi,"G2 RSI p=21 max=70 macd=True",461,0.0433,199.36,19.94,0,0,22.66,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 70, ""with_macd"": true}"
V7_G2_P008,group_g2_rsi,"G2 RSI p=21 max=70 macd=False",471,0.0281,132.322,13.23,0,0,27.01,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 70, ""with_macd"": false}"
V7_G2_P009,group_g2_rsi,"G2 RSI p=21 max=75 macd=True",839,0.4592,3852.719,385.27,0,0,11.24,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 75, ""with_macd"": true}"
V7_G2_P010,group_g2_rsi,"G2 RSI p=21 max=75 macd=False",860,0.476,4093.952,409.40,0,0,12.16,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 75, ""with_macd"": false}"
V7_G2_P011,group_g2_rsi,"G2 RSI p=21 max=80 macd=True",1009,1.0204,10296.142,1029.61,0,0,10.49,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 80, ""with_macd"": true}"
V7_G2_P012,group_g2_rsi,"G2 RSI p=21 max=80 macd=False",0,0,0,0,0,0,0,0,0,0,"{""rsi_period"": 21, ""rsi_max"": 80, ""with_macd"": false}"
V7_G3_P001,group_g3_timeframe,"G3 tf=5m atr=0.4",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""5m"", ""atr_mult"": 0.4}"
V7_G3_P002,group_g3_timeframe,"G3 tf=5m atr=0.6",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""5m"", ""atr_mult"": 0.6}"
V7_G3_P003,group_g3_timeframe,"G3 tf=5m atr=0.8",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""5m"", ""atr_mult"": 0.8}"
V7_G3_P004,group_g3_timeframe,"G3 tf=30m atr=0.4",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""30m"", ""atr_mult"": 0.4}"
V7_G3_P005,group_g3_timeframe,"G3 tf=30m atr=0.6",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""30m"", ""atr_mult"": 0.6}"
V7_G3_P006,group_g3_timeframe,"G3 tf=30m atr=0.8",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""30m"", ""atr_mult"": 0.8}"
V7_G3_P007,group_g3_timeframe,"G3 tf=1h atr=0.4",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""1h"", ""atr_mult"": 0.4}"
V7_G3_P008,group_g3_timeframe,"G3 tf=1h atr=0.6",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""1h"", ""atr_mult"": 0.6}"
V7_G3_P009,group_g3_timeframe,"G3 tf=1h atr=0.8",0,0,0,0,0,0,0,0,0,0,"{""timeframe"": ""1h"", ""atr_mult"": 0.8}"
V7_G4_P001,group_g4_keltner,"G4 KC p=20 m=1.5 macd=True",1909,0.5795,11063.205,1106.32,0,0,32.31,0,0,0,"{""kc_period"": 20, ""kc_mult"": 1.5, ""with_macd"": true}"
V7_G4_P002,group_g4_keltner,"G4 KC p=20 m=1.5 macd=False",2224,0.5502,12236.6,1223.66,0,0,37.63,0,0,0,"{""kc_period"": 20, ""kc_mult"": 1.5, ""with_macd"": false}"
V7_G4_P003,group_g4_keltner,"G4 KC p=20 m=2.0 macd=True",1713,0.7383,12646.795,1264.68,0,0,32.40,0,0,0,"{""kc_period"": 20, ""kc_mult"": 2.0, ""with_macd"": true}"
V7_G4_P004,group_g4_keltner,"G4 KC p=20 m=2.0 macd=False",1930,0.5309,10245.756,1024.58,0,0,37.99,0,0,0,"{""kc_period"": 20, ""kc_mult"": 2.0, ""with_macd"": false}"
V7_G4_P005,group_g4_keltner,"G4 KC p=20 m=2.5 macd=True",1471,0.6713,9874.674,987.47,0,0,28.35,0,0,0,"{""kc_period"": 20, ""kc_mult"": 2.5, ""with_macd"": true}"
V7_G4_P006,group_g4_keltner,"G4 KC p=20 m=2.5 macd=False",1597,0.6724,10737.628,1073.76,0,0,29.20,0,0,0,"{""kc_period"": 20, ""kc_mult"": 2.5, ""with_macd"": false}"
V7_G4_P007,group_g4_keltner,"G4 KC p=30 m=1.5 macd=True",1967,0.531,10445.409,1044.54,0,0,27.20,0,0,0,"{""kc_period"": 30, ""kc_mult"": 1.5, ""with_macd"": true}"
V7_G4_P008,group_g4_keltner,"G4 KC p=30 m=1.5 macd=False",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 30, ""kc_mult"": 1.5, ""with_macd"": false}"
V7_G4_P009,group_g4_keltner,"G4 KC p=30 m=2.0 macd=True",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 30, ""kc_mult"": 2.0, ""with_macd"": true}"
V7_G4_P010,group_g4_keltner,"G4 KC p=30 m=2.0 macd=False",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 30, ""kc_mult"": 2.0, ""with_macd"": false}"
V7_G4_P011,group_g4_keltner,"G4 KC p=30 m=2.5 macd=True",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 30, ""kc_mult"": 2.5, ""with_macd"": true}"
V7_G4_P012,group_g4_keltner,"G4 KC p=30 m=2.5 macd=False",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 30, ""kc_mult"": 2.5, ""with_macd"": false}"
V7_G4_P013,group_g4_keltner,"G4 KC p=40 m=1.5 macd=True",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 40, ""kc_mult"": 1.5, ""with_macd"": true}"
V7_G4_P014,group_g4_keltner,"G4 KC p=40 m=1.5 macd=False",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 40, ""kc_mult"": 1.5, ""with_macd"": false}"
V7_G4_P015,group_g4_keltner,"G4 KC p=40 m=2.0 macd=True",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 40, ""kc_mult"": 2.0, ""with_macd"": true}"
V7_G4_P016,group_g4_keltner,"G4 KC p=40 m=2.0 macd=False",0,0,0,0,0,0,0,0,0,0,"{""kc_period"": 40, ""kc_mult"": 2.0, ""with_macd"": false}"
V7_G5_P001,group_g5_dc_fixed,"G5 DC=10",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 10}"
V7_G5_P002,group_g5_dc_fixed,"G5 DC=12",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 12}"
V7_G5_P003,group_g5_dc_fixed,"G5 DC=14",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 14}"
V7_G5_P004,group_g5_dc_fixed,"G5 DC=18",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 18}"
V7_G5_P005,group_g5_dc_fixed,"G5 DC=20",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 20}"
V7_G5_P006,group_g5_dc_fixed,"G5 DC=25",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 25}"
V7_G5_P007,group_g5_dc_fixed,"G5 DC=30",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 30}"
V7_G5_P008,group_g5_dc_fixed,"G5 DC=35",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 35}"
V7_G5_P009,group_g5_dc_fixed,"G5 DC=40",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 40}"
V7_G5_P010,group_g5_dc_fixed,"G5 DC=50",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 50}"
V7_G5_P011,group_g5_dc_fixed,"G5 DC=60",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 60}"
V7_G5_P012,group_g5_dc_fixed,"G5 DC=80",0,0,0,0,0,0,0,0,0,0,"{""dc_period"": 80}"
V7_G6_P001,group_g6_pair_weight,"G6 btc=3 eth=7 sol=5 ada=7",0,0,0,0,0,0,0,0,0,0,"{""btc"": 3, ""eth"": 7, ""sol"": 5, ""ada"": 7}"
V7_G6_P002,group_g6_pair_weight,"G6 btc=5 eth=7 sol=3 ada=7",0,0,0,0,0,0,0,0,0,0,"{""btc"": 5, ""eth"": 7, ""sol"": 3, ""ada"": 7}"
V7_G6_P003,group_g6_pair_weight,"G6 btc=3 eth=5 sol=5 ada=5",0,0,0,0,0,0,0,0,0,0,"{""btc"": 3, ""eth"": 5, ""sol"": 5, ""ada"": 5}"
V7_G6_P004,group_g6_pair_weight,"G6 btc=7 eth=7 sol=3 ada=5",0,0,0,0,0,0,0,0,0,0,"{""btc"": 7, ""eth"": 7, ""sol"": 3, ""ada"": 5}"
V7_G6_P005,group_g6_pair_weight,"G6 btc=5 eth=5 sol=7 ada=7",0,0,0,0,0,0,0,0,0,0,"{""btc"": 5, ""eth"": 5, ""sol"": 7, ""ada"": 7}"
V7_G6_P006,group_g6_pair_weight,"G6 btc=3 eth=7 sol=7 ada=5",0,0,0,0,0,0,0,0,0,0,"{""btc"": 3, ""eth"": 7, ""sol"": 7, ""ada"": 5}"
V7_G6_P007,group_g6_pair_weight,"G6 btc=5 eth=3 sol=7 ada=7",0,0,0,0,0,0,0,0,0,0,"{""btc"": 5, ""eth"": 3, ""sol"": 7, ""ada"": 7}"
V7_G6_P008,group_g6_pair_weight,"G6 btc=7 eth=5 sol=5 ada=3",0,0,0,0,0,0,0,0,0,0,"{""btc"": 7, ""eth"": 5, ""sol"": 5, ""ada"": 3}"
V7_G7_P001,group_g7_ablation,"G7 no_atr_filter",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_atr_filter"", ""desc"": ""移除ATR突破力度过滤""}"
V7_G7_P002,group_g7_ablation,"G7 no_adx_rising",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_adx_rising"", ""desc"": ""移除ADX上升要求""}"
V7_G7_P003,group_g7_ablation,"G7 no_di_cross",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_di_cross"", ""desc"": ""移除DI方向要求""}"
V7_G7_P004,group_g7_ablation,"G7 no_ema_align",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_ema_align"", ""desc"": ""移除15m EMA三线排列""}"
V7_G7_P005,group_g7_ablation,"G7 no_ema200",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_ema200"", ""desc"": ""移除EMA200条件(只保留21>55)""}"
V7_G7_P006,group_g7_ablation,"G7 no_4h_ema",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_4h_ema"", ""desc"": ""移除4H EMA确认""}"
V7_G7_P007,group_g7_ablation,"G7 no_macd",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_macd"", ""desc"": ""移除MACD共振""}"
V7_G7_P008,group_g7_ablation,"G7 no_macd_rising",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""no_macd_rising"", ""desc"": ""MACD只要>0不要求上升""}"
V7_G7_P009,group_g7_ablation,"G7 minimal_dc_adx",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""minimal_dc_adx"", ""desc"": ""最简:只DC突破+ADX>28""}"
V7_G7_P010,group_g7_ablation,"G7 minimal_dc_only",0,0,0,0,0,0,0,0,0,0,"{""ablation"": ""minimal_dc_only"", ""desc"": ""极简:只DC突破""}"
V7_G8_P001,group_g8_macd_th,"G8 hist_th=0.0 rising=True",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.0, ""rising_required"": true}"
V7_G8_P002,group_g8_macd_th,"G8 hist_th=0.0 rising=False",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.0, ""rising_required"": false}"
V7_G8_P003,group_g8_macd_th,"G8 hist_th=0.001 rising=True",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.001, ""rising_required"": true}"
V7_G8_P004,group_g8_macd_th,"G8 hist_th=0.001 rising=False",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.001, ""rising_required"": false}"
V7_G8_P005,group_g8_macd_th,"G8 hist_th=0.005 rising=True",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.005, ""rising_required"": true}"
V7_G8_P006,group_g8_macd_th,"G8 hist_th=0.005 rising=False",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.005, ""rising_required"": false}"
V7_G8_P007,group_g8_macd_th,"G8 hist_th=0.01 rising=True",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.01, ""rising_required"": true}"
V7_G8_P008,group_g8_macd_th,"G8 hist_th=0.01 rising=False",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.01, ""rising_required"": false}"
V7_G8_P009,group_g8_macd_th,"G8 hist_th=0.02 rising=True",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.02, ""rising_required"": true}"
V7_G8_P010,group_g8_macd_th,"G8 hist_th=0.02 rising=False",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.02, ""rising_required"": false}"
V7_G8_P011,group_g8_macd_th,"G8 hist_th=0.05 rising=True",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.05, ""rising_required"": true}"
V7_G8_P012,group_g8_macd_th,"G8 hist_th=0.05 rising=False",0,0,0,0,0,0,0,0,0,0,"{""threshold"": 0.05, ""rising_required"": false}"
V7_G9_P001,group_g9_session,"G9 sess=asia macd=True",0,0,0,0,0,0,0,0,0,0,"{""session"": ""asia"", ""with_macd"": true}"
V7_G9_P002,group_g9_session,"G9 sess=asia macd=False",0,0,0,0,0,0,0,0,0,0,"{""session"": ""asia"", ""with_macd"": false}"
V7_G9_P003,group_g9_session,"G9 sess=europe macd=True",0,0,0,0,0,0,0,0,0,0,"{""session"": ""europe"", ""with_macd"": true}"
V7_G9_P004,group_g9_session,"G9 sess=europe macd=False",0,0,0,0,0,0,0,0,0,0,"{""session"": ""europe"", ""with_macd"": false}"
V7_G9_P005,group_g9_session,"G9 sess=us macd=True",0,0,0,0,0,0,0,0,0,0,"{""session"": ""us"", ""with_macd"": true}"
V7_G9_P006,group_g9_session,"G9 sess=us macd=False",0,0,0,0,0,0,0,0,0,0,"{""session"": ""us"", ""with_macd"": false}"
V7_G9_P007,group_g9_session,"G9 sess=no_asia macd=True",0,0,0,0,0,0,0,0,0,0,"{""session"": ""no_asia"", ""with_macd"": true}"
V7_G9_P008,group_g9_session,"G9 sess=no_asia macd=False",0,0,0,0,0,0,0,0,0,0,"{""session"": ""no_asia"", ""with_macd"": false}"
V7_G9_P009,group_g9_session,"G9 sess=no_low macd=True",0,0,0,0,0,0,0,0,0,0,"{""session"": ""no_low"", ""with_macd"": true}"
V7_G9_P010,group_g9_session,"G9 sess=no_low macd=False",0,0,0,0,0,0,0,0,0,0,"{""session"": ""no_low"", ""with_macd"": false}"
V7_G9_P011,group_g9_session,"G9 sess=overlap macd=True",0,0,0,0,0,0,0,0,0,0,"{""session"": ""overlap"", ""with_macd"": true}"
V7_G9_P012,group_g9_session,"G9 sess=overlap macd=False",0,0,0,0,0,0,0,0,0,0,"{""session"": ""overlap"", ""with_macd"": false}"
V7_G10_P001,group_g10_consecutive,"G10 consec=2 macd=True",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 2, ""with_macd"": true}"
V7_G10_P002,group_g10_consecutive,"G10 consec=2 macd=False",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 2, ""with_macd"": false}"
V7_G10_P003,group_g10_consecutive,"G10 consec=3 macd=True",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 3, ""with_macd"": true}"
V7_G10_P004,group_g10_consecutive,"G10 consec=3 macd=False",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 3, ""with_macd"": false}"
V7_G10_P005,group_g10_consecutive,"G10 consec=4 macd=True",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 4, ""with_macd"": true}"
V7_G10_P006,group_g10_consecutive,"G10 consec=4 macd=False",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 4, ""with_macd"": false}"
V7_G10_P007,group_g10_consecutive,"G10 consec=5 macd=True",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 5, ""with_macd"": true}"
V7_G10_P008,group_g10_consecutive,"G10 consec=5 macd=False",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 5, ""with_macd"": false}"
V7_G10_P009,group_g10_consecutive,"G10 consec=6 macd=True",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 6, ""with_macd"": true}"
V7_G10_P010,group_g10_consecutive,"G10 consec=6 macd=False",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 6, ""with_macd"": false}"
V7_G10_P011,group_g10_consecutive,"G10 consec=8 macd=True",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 8, ""with_macd"": true}"
V7_G10_P012,group_g10_consecutive,"G10 consec=8 macd=False",0,0,0,0,0,0,0,0,0,0,"{""consecutive_bars"": 8, ""with_macd"": false}"
V7_G11_P001,group_g11_dyn_timeout,"G11 loss_bars=32 win_bars=96 th=-0.02",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 32, ""win_bars"": 96, ""loss_threshold"": -0.02}"
V7_G11_P002,group_g11_dyn_timeout,"G11 loss_bars=32 win_bars=96 th=-0.03",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 32, ""win_bars"": 96, ""loss_threshold"": -0.03}"
V7_G11_P003,group_g11_dyn_timeout,"G11 loss_bars=40 win_bars=80 th=-0.02",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 40, ""win_bars"": 80, ""loss_threshold"": -0.02}"
V7_G11_P004,group_g11_dyn_timeout,"G11 loss_bars=40 win_bars=80 th=-0.03",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 40, ""win_bars"": 80, ""loss_threshold"": -0.03}"
V7_G11_P005,group_g11_dyn_timeout,"G11 loss_bars=48 win_bars=128 th=-0.02",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 48, ""win_bars"": 128, ""loss_threshold"": -0.02}"
V7_G11_P006,group_g11_dyn_timeout,"G11 loss_bars=48 win_bars=128 th=-0.03",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 48, ""win_bars"": 128, ""loss_threshold"": -0.03}"
V7_G11_P007,group_g11_dyn_timeout,"G11 loss_bars=24 win_bars=64 th=-0.02",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 24, ""win_bars"": 64, ""loss_threshold"": -0.02}"
V7_G11_P008,group_g11_dyn_timeout,"G11 loss_bars=24 win_bars=64 th=-0.03",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 24, ""win_bars"": 64, ""loss_threshold"": -0.03}"
V7_G11_P009,group_g11_dyn_timeout,"G11 loss_bars=32 win_bars=128 th=-0.02",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 32, ""win_bars"": 128, ""loss_threshold"": -0.02}"
V7_G11_P010,group_g11_dyn_timeout,"G11 loss_bars=32 win_bars=128 th=-0.03",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 32, ""win_bars"": 128, ""loss_threshold"": -0.03}"
V7_G11_P011,group_g11_dyn_timeout,"G11 loss_bars=48 win_bars=96 th=-0.02",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 48, ""win_bars"": 96, ""loss_threshold"": -0.02}"
V7_G11_P012,group_g11_dyn_timeout,"G11 loss_bars=48 win_bars=96 th=-0.03",0,0,0,0,0,0,0,0,0,0,"{""loss_bars"": 48, ""win_bars"": 96, ""loss_threshold"": -0.03}"
V7_G12_P001,group_g12_stoploss,"G12 SL=-0.06",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.06}"
V7_G12_P002,group_g12_stoploss,"G12 SL=-0.07",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.07}"
V7_G12_P003,group_g12_stoploss,"G12 SL=-0.08",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.08}"
V7_G12_P004,group_g12_stoploss,"G12 SL=-0.09",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.09}"
V7_G12_P005,group_g12_stoploss,"G12 SL=-0.1",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.1}"
V7_G12_P006,group_g12_stoploss,"G12 SL=-0.11",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.11}"
V7_G12_P007,group_g12_stoploss,"G12 SL=-0.12",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.12}"
V7_G12_P008,group_g12_stoploss,"G12 SL=-0.13",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.13}"
V7_G12_P009,group_g12_stoploss,"G12 SL=-0.14",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.14}"
V7_G12_P010,group_g12_stoploss,"G12 SL=-0.15",0,0,0,0,0,0,0,0,0,0,"{""stoploss"": -0.15}"
V7_G13_P001,group_g13_compound_exit,"G13 di=True ema=True adx=True bars=8",0,0,0,0,0,0,0,0,0,0,"{""need_di"": true, ""need_ema"": true, ""need_adx"": true, ""min_bars"": 8}"
V7_G13_P002,group_g13_compound_exit,"G13 di=True ema=True adx=True bars=16",0,0,0,0,0,0,0,0,0,0,"{""need_di"": true, ""need_ema"": true, ""need_adx"": true, ""min_bars"": 16}"
V7_G13_P003,group_g13_compound_exit,"G13 di=True ema=True adx=False bars=8",0,0,0,0,0,0,0,0,0,0,"{""need_di"": true, ""need_ema"": true, ""need_adx"": false, ""min_bars"": 8}"
V7_G13_P004,group_g13_compound_exit,"G13 di=True ema=True adx=False bars=16",1104,0.9739,10752.33,1075.23,0,0,14.65,0,0,0,"{""need_di"": true, ""need_ema"": true, ""need_adx"": false, ""min_bars"": 16}"
V7_G13_P005,group_g13_compound_exit,"G13 di=True ema=False adx=True bars=8",1157,0.2475,2862.957,286.30,0,0,14.28,0,0,0,"{""need_di"": true, ""need_ema"": false, ""need_adx"": true, ""min_bars"": 8}"
V7_G13_P006,group_g13_compound_exit,"G13 di=True ema=False adx=True bars=16",1155,0.2387,2756.462,275.65,0,0,14.71,0,0,0,"{""need_di"": true, ""need_ema"": false, ""need_adx"": true, ""min_bars"": 16}"
V7_G13_P007,group_g13_compound_exit,"G13 di=False ema=True adx=True bars=8",1102,1.0837,11941.943,1194.19,0,0,14.05,0,0,0,"{""need_di"": false, ""need_ema"": true, ""need_adx"": true, ""min_bars"": 8}"
V7_G13_P008,group_g13_compound_exit,"G13 di=False ema=True adx=True bars=16",1102,1.0845,11950.721,1195.07,0,0,14.04,0,0,0,"{""need_di"": false, ""need_ema"": true, ""need_adx"": true, ""min_bars"": 16}"
V7_G14_P001,group_g14_regime,"G14 strong_only adx>35",710,0.4863,3452.913,345.29,0,0,13.73,0,0,0,"{""type"": ""strong_only"", ""adx_threshold"": 35}"
V7_G14_P002,group_g14_regime,"G14 half_lev adx=35",1066,0.3933,4192.652,419.27,0,0,13.74,0,0,0,"{""type"": ""half_leverage"", ""adx_threshold"": 35}"
V7_G14_P003,group_g14_regime,"G14 strong_only adx>40",482,0.2966,1429.789,142.98,0,0,14.69,0,0,0,"{""type"": ""strong_only"", ""adx_threshold"": 40}"
V7_G14_P004,group_g14_regime,"G14 half_lev adx=40",1037,0.4708,4881.986,488.20,0,0,11.81,0,0,0,"{""type"": ""half_leverage"", ""adx_threshold"": 40}"
V7_G14_P005,group_g14_regime,"G14 strong_only adx>45",291,0.3863,1124.1,112.41,0,0,11.57,0,0,0,"{""type"": ""strong_only"", ""adx_threshold"": 45}"
V7_G14_P006,group_g14_regime,"G14 half_lev adx=45",1017,0.5444,5536.187,553.62,0,0,12.30,0,0,0,"{""type"": ""half_leverage"", ""adx_threshold"": 45}"
V7_G14_P007,group_g14_regime,"G14 adx_slope bars=5",923,0.4918,4538.921,453.89,0,0,16.77,0,0,0,"{""type"": ""slope"", ""slope_bars"": 5}"
